"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"NL5",197.306613316564,-68.3930775186612,-6.01904279808257,-14.9519509828619,63.8970026808212,41.8060800038008,7.7871959844,5.72053006135493,-0.262952197207284,15.4489594304026,-4.35471753527653,-0.23207712419559,-12.1435243846442,-2.26002328021262,-7.29961197314248,-6.48228244751313,-6.42265197448114,-5.11659332089579,1.92987994396647,3.62211426934305,-1.27413856745992,2.24287688281494,-0.311179621736002,-1.6069416957589,1.00838100746906,0.436477376642126,-0.492307275437386,1.31862797270808,-0.91435489613026,-0.328102431344572,-0.353911309641466,-1.78420483682579e-13
"NL6",197.283055986087,-48.2622246625351,-34.6847797925322,-47.119731194259,-16.8415055393897,-41.5122537875484,24.4119562558898,2.74835558958979,-15.0573785134986,9.95389526693122,2.45716810471606,13.0476258508227,1.20518970052828,11.0028436504824,13.3936664555989,14.8180931521941,3.50371505257935,2.01835490634361,-6.88539387665544,-6.07628676484415,-1.52648902790733,-3.6583954413304,-3.69472532121054,0.58783297350292,-0.0750678050366133,-0.892591912213227,0.604907485134119,0.959324802253204,-0.0450824238177183,0.332172849844182,0.391248064497043,-2.16014367309357e-13
"NL7",-83.4523093374393,-57.6225780379685,-7.02248658156862,-1.6281072753759,-1.4160412933784,-0.485278887757645,-7.94245567335349,3.55308231544912,-0.381449074412723,-11.4300721896888,0.942785953214543,-7.47171663140211,-0.139826762550275,-3.99551978976828,-2.23726401669517,7.53694562401318,-7.56839627711946,-6.74012733148846,-1.94545270078773,-5.55529857712655,-10.5367989274888,-1.869844793397,-7.30895970225686,-17.1460492121052,-20.7899610361054,-19.7645161692684,1.13554484488263,1.50693289952806,-23.6852755633525,3.58692431178604,-3.98106806190452,3.45792730387096e-14
"NL8",-89.5098086049046,-27.9460107367836,-22.9660542292349,-6.38787111094122,-1.35864885748046,-7.71835159758398,10.6099683802257,3.64218536445018,9.28268641311499,5.7536749258399,-7.76235810398042,-14.8267588252509,4.42326500412817,13.3872461575366,9.81377352292104,-20.0115771723214,-2.48457572421166,-9.62525647751726,12.3676609629198,10.6114411543616,19.8859793570784,-5.51697836305777,-10.8787464891128,10.8516816990297,5.10270268081574,-4.90908287803559,21.7764057316492,-8.46220527680847,-7.26272407368743,-2.91813030600708,6.5138999748398,1.4669287919794e-13
"NS1",-119.930408881706,-80.0679976183891,-20.3940779609618,4.83578632655075,-2.09650153897828,-2.23214679866477,-2.6858769163174,-1.38378327309898,-8.08387211179999,1.44830133343545,-0.706178051015116,-6.33955713576102,3.73325255775449,-1.89225893456841,-8.56917556322878,2.68959331039961,-0.948459105897774,2.94434865884201,-9.80955030495556,-4.12036946448538,-1.40829298692513,5.47358997204217,-1.76674578334279,3.30139877341877,31.4592524093591,6.67519268970029,-16.963355603807,-3.96906437364791,-13.711361866695,9.2569957454986,5.16249926364237,-6.05937825956526e-14
"NS2",184.315323219256,-39.033909191234,-26.3216405543386,52.5510141386435,4.95786921801157,-19.1097181174553,-53.5409478365682,-21.2825251791414,2.51825686690849,7.47266617037754,0.916194160645047,0.639367636495233,15.8129088743542,2.34992111412354,9.14357738016043,-0.344057249603573,0.841917996672745,1.39001545387272,-1.51967571782394,1.59602051323384,4.30419983629099,-0.385161998028229,-1.64139885144125,0.59655797626249,-1.74839191514412,0.980403553555377,2.39560116657816,0.526676860775835,0.378161931084867,0.328248479900441,-0.793800852896353,-6.62062540749721e-13
"NS3",-122.756679612042,-92.4325998381128,-8.53313285039515,0.506256391128137,-0.0356022392123322,-1.67629474847685,-8.36994580340021,3.07612821023292,-5.59357351760505,-4.90357410152652,-4.97709549595427,0.750921438903483,-0.543050403548317,-4.53490541229676,-4.42239133017384,3.09298884388338,-1.25411613350262,-1.03521038702726,-4.7524510252559,-8.60726380321986,-8.05879953640361,-0.945304103429775,3.36902354204125,-12.4114181663038,2.15573912328731,-3.43095727895625,5.56915160404546,-1.54886692278011,21.1441710575437,-23.2115435432755,12.6853225108844,-1.65748274480459e-13
"NS4",186.804148663538,-48.7848470311759,-17.1495704126005,14.5982722949526,-50.5859484371388,21.2873554691335,25.5982421770094,-9.35374406868991,21.9830250159148,-29.7050846151273,4.29746353724379,-11.9985741421304,-7.43204903790724,-7.97005560437933,-12.9243787076306,-8.71317565842554,5.73334084652757,1.42773882286967,6.4446131240309,0.516699583344428,-1.23048380308903,-0.417953693524914,3.98229694546377,-0.283457864179851,0.552069505544197,0.476394609913956,-1.28567863688765,-2.88253196506912,2.33386318661379,0.995721405023914,0.416144452675223,-2.4491807914433e-13
"NS5",-55.2287015942279,4.64213753553866,-18.8037743291185,-2.55258869123298,12.7684488654317,8.89196816507171,-0.322134735820656,-2.21767650719798,8.48524561132858,0.653399671806396,5.13289508305894,-0.681365257768398,4.30495887074378,1.4871763978321,3.95144141428894,8.26144249430092,5.84093785274524,7.34091146825688,-8.52494125365603,-3.4589386341157,-11.2197067022325,-2.33232371022787,12.273128633275,25.0776300849379,-14.5666828915916,-4.66899815215468,-5.34378685382351,-29.4382416598081,2.28094363290731,1.28904083067682,0.772562692679275,-2.5389019771109e-14
"NS6",-16.7072463621611,76.8546438418267,-42.5895964742193,-5.32633500263399,2.2518227035273,0.00731485763471404,2.82596165712383,-19.2970430293569,-1.35193198554672,11.9000293378425,6.63928076460045,1.59660663671157,-5.42424460565795,2.51253338685984,-7.79093052010629,10.1325588742957,8.7718546335619,6.22032668161937,10.4324209088091,7.62954781647351,4.13499571776627,23.8710674321929,21.6560984234934,-14.7387703572122,9.76161281202734,-13.3362126071183,9.19310400869315,-3.90783265453369,-3.53486548879993,-2.04175259509184,-1.75804088196892,7.29393081306748e-14
"NS7",-87.5533851757688,-10.5520920825948,-24.6817692088317,3.61144886374285,6.78699191724633,5.29636418361095,-3.79384612423807,-0.219057020561912,-0.00305723654288784,-3.5861969907475,9.66965950634295,5.14507144863084,-10.6247778069227,-3.28965822109885,-1.85572719038543,9.44342030633877,1.48918742997736,3.74748005635343,2.14264828498589,-1.70081573471162,-3.1425710744693,-11.6082749604097,-1.75334569417478,0.339674639071145,0.0678271839828378,-3.02273657405307,14.6665745116453,9.80281220946727,16.9326852852753,29.555978397604,5.95587163069575,1.58200099613197e-13
"NS8",-102.74452720461,-50.2204637529436,-18.2461539655133,-7.04710611630478,-1.90899339779591,-8.50506113767973,-2.17602721040932,3.02597529951365,1.45398280859258,1.23598264835026,-2.45893982386135,-3.56036291538143,-2.86803121929066,2.56356487264616,-0.158912014101197,-9.03260918107634,-1.17510465942309,-1.61306398115626,-0.0911114007632225,5.06330948254682,3.17714393598113,1.86750804212358,-0.208844103356593,-2.87434590173071,0.64245515917915,4.69372875580112,-2.96771172020431,-1.85622349907149,12.7109026940458,0.438338686502223,-34.9313523459113,8.18398083676786e-14
